,text,profile,match_bin,match_cat
0,"Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.","Я - психолог, гештальт-терапевт.  За моими плечами 8 лет непрерывного обучения, 4 года постоянной практики, более 1000 проведенных консультаций и множество счастливых людей.  Я помогу вам научиться лучше себя понимать и обрести баланс между собой и миром.  Работаю с такими запросами, как:  - самооценка;  - установки, мешающие жить;  - детско-родительские отношения;  - уверенность в себе;  - раскрытие внутреннего потенциала;  - чувство одиночества;  - интерес к жизни;  - созависимость в отношениях;  - повторяющиеся жизненные сценарии.  Главными моими принципами в работе являются конфиденциальность и бережное отношение к клиенту.  Терапия - это место, где можно быть собой без масок и обнаруживать себя настоящего. Давайте сделаем это вместе. Образование 2024               Московский институт гештальта и психодрамы. Психологическое консультирование с использованием метода гештальт-терапии.                                           2022               Самарский государственный социально-педагогический университет. Психолого-педагогическое образование, магистр.                                           2020               Самарский государственный социально-педагогический университет. Психолого-педагогическое образование, бакалавр.                                           2020               Московский институт гештальта и психодрамы. Введение в гештальт-консультирование. Контакт с собой и с другими. 2024               Московский институт гештальта и психодрамы. Психологическое консультирование с использованием метода гештальт-терапии. 2022               Самарский государственный социально-педагогический университет. Психолого-педагогическое образование, магистр. 2020               Самарский государственный социально-педагогический университет. Психолого-педагогическое образование, бакалавр. 2020               Московский институт гештальта и психодрамы. Введение в гештальт-консультирование. Контакт с собой и с другими. Метод терапии Гештальт-терапия",0,1
1,"Здравствуйте, подскажите пожалуйста куда можно обратиться за диагностикой. Я постоянно отвлекаюсь, забываю про запланированные дела, откладываю дела про которые помню на часы и дни, хотя задачи простые, а другими вещами могу увлечься так что не оторвать - пока мне вдруг не надоест. Мне кажется что у меня недиагнозированный СДВГ, и это сильно мешает моей продуктивности","Я  сертифицированный  Гештальт-терапевт, магистр психологии, супервизор.  Вы можете обратиться ко мне если:  -вам требуется поддержка в сегодняшнее сложное время;  - если вы потеряли внутреннюю опору и растерянны;  - если есть боль в отношениях, где вместо радости, удовольствия и любви- ссоры, обиды, манипуляции;  - испытываете низкую самооценку.  неуверенность в себе, которая приводит к отсутствию самореализации, на фоне страха, тревоги, чувства вины, стыда.  - если испытываете апатию;  -непонимание своих чувств, потребностей, желаний.  Если есть ощущение тупика, проживание кризиса. Если вам надоело терпеть, устали бояться, стыдиться, виниться.  Если потеряны краски жизни, вкус к жизни.  Если готовы работать над собой и меняться-  Буду рада, если случится наша встреча, а мои опыт и знания помогут Вам решать свои внутренние психологические проблемы, что бы чувствовать уверенность в себе и внутреннюю силу, всю полноту своей жизни. Образование 2023               Московский Гештальт Институт (Гештальт-терапевт, супервизор, ведущая групп, закончила три ступени).                                           2022                Курс «Психиатрия для психологов». МГИ.                                           2019               Спецкурс МГИ - Работа со сновидениями в гештальт-подходе.                                           2017               Кубанский Государственный Университет  (Психолог, магистр). 2023               Московский Гештальт Институт (Гештальт-терапевт, супервизор, ведущая групп, закончила три ступени). 2022                Курс «Психиатрия для психологов». МГИ. 2019               Спецкурс МГИ - Работа со сновидениями в гештальт-подходе. 2017               Кубанский Государственный Университет  (Психолог, магистр). Метод терапии Гештальт-терапия",0,1
2,"Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.","Я могу помочь в:  Разрешении актуальных жизненных проблем:  - трудности конфликтов «отцы и дети»;  - потеря близкого человека;  - семейные конфликты в парах.  Личностном развитии, профессиональной реализации и самореализации:  - неуверенность в себе;  - потеря ощущения себя;  - стеснительность.  В преодолении сложностей во взаимоотношениях с окружающими людьми:  - трудности при построении отношений (одиночество, токсичные или созависимые отношения);  - детско-родительские проблемы (конфликты взрослых детей и родителей, холодные или гиперопекающие родители, критика, обиды, чувство вины, трудности в отделении от родителей и принятии самостоятельности);  - тревожные состояния, страхи, панические атаки, неврозы;  - супружеские конфликты (развод, кризисы, измены, ссоры и отсутствие взаимопонимания);  - низкая самооценка и неуверенность в себе (стыд, непринятие себя, своего поведения и внешности);  - потеря интереса к жизни (депрессия, раздражительность, обиды, зависть, отсутствие энергии и желания жить полноценной жизнью, мысли о суициде);  - травматический опыт прошлого (психологические травмы), который влияет на жизнь в настоящем;  - личностные проблемы (нехватка времени и сил, трудности при поиске работы, отсутствие целей, постоянный стресс, эмоциональное выгорание).  В своей работе руководствуюсь принципами этического кодекса ЕАТА. Главные аспекты, которых я придерживаюсь в своей работе:  - соблюдение личных психологических границ;  - безоценочность;  - эмпатия;  - сохранение конфиденциальности. Образование 2023               Европейская ассоциация транзактного анализа (ЕАТА). Транзактный анализ, специализация Психотерапия.                                           2019               Московский институт современного академического образования. Психологическое консультирование и психодиагностика.                                           2004               Кубанский государственный технологический университет. Специалист по связям с общественностью. 2023               Европейская ассоциация транзактного анализа (ЕАТА). Транзактный анализ, специализация Психотерапия. 2019               Московский институт современного академического образования. Психологическое консультирование и психодиагностика. 2004               Кубанский государственный технологический университет. Специалист по связям с общественностью. Метод терапии Психоаналитическая терапия, Транзактный анализ",1,5
3,"Здравствуйте, подскажите пожалуйста куда можно обратиться за диагностикой. Я постоянно отвлекаюсь, забываю про запланированные дела, откладываю дела про которые помню на часы и дни, хотя задачи простые, а другими вещами могу увлечься так что не оторвать - пока мне вдруг не надоест. Мне кажется что у меня недиагнозированный СДВГ, и это сильно мешает моей продуктивности","Я приглашаю вас в гештальт-терапию, где в процессе познания себя вы будете менять свою жизненную историю.    Любой психический симптом (депрессия, тревога, навязчивые состояния, сложности в отношениях) никогда не возникает на пустом месте. У каждого симптома – своя причина, у каждого диагноза – своя история, у каждого человека – свой путь, которым он следует, чтобы разобраться с тем, что с ним происходит.    Какой я терапевт? Чувствительный и внимательный. Я создаю пространство, где можно быть увиденным, услышанным, принятым и, наконец, просто быть собой.    Я – терапевт, поддерживающий, когда необходимо, и поощряющий самостоятельность. Избегаю давать советы и отвечать на вопрос «как мне поступить?» Я помогу вам научиться верить себе, своим ощущениям и опираться на них.    Знание детской психологии, многолетний опыт работы с детьми являются для меня большой опорой, которая помогает выстраивать бережные и безопасные отношения с моими взрослыми клиентами.    С какими запросами вы можете ко мне обращаться:    - проблемы и сложности во взаимоотношениях (семейных, партнерских, деловых, дружеских);  - отношения со своим телом, сексуальностью;  - сексуальная, гендерная идентичность;  - предъявление себя, работа со стыдом и страхом;  - обозначение и принятие своих ценностей и границ;  - понимание, выдерживание и проживание эмоций;  - расставание, завершение отношений;  - проживание утраты и горя;  - кризисы и перемены в жизни. Образование 2023               Университет сексологии РНСО. Гендерная инконгруэнтность: актуальные подходы в профессиональной помощи                                           2022               Московский Гештальт Институт. Основы гештальт-терапии: 1 ступень.                                           2014               Санкт-Петербургский Государственный Университет. Магистр психологии. 2023               Университет сексологии РНСО. Гендерная инконгруэнтность: актуальные подходы в профессиональной помощи 2022               Московский Гештальт Институт. Основы гештальт-терапии: 1 ступень. 2014               Санкт-Петербургский Государственный Университет. Магистр психологии. Метод терапии Гештальт-терапия",0,1
4,"Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием","Я психолог, психотерапевт, гештальт-терапевт. Я прежде всего, работаю с людьми, а не со сложностями, нарушениями.  Области работы и интересы:  - сфера человеческих отношений (детско-родительские, женско-мужские, конфликты в семье);  - восприятие себя, своего тела, образ себя;  - самоопределение себя как личности и профессионала;  - поиск себя, своего места;  - психосоматика;  - кризисные состояния (работа со страхами, фобиями, депрессивными состояниями паническими атаками и др.).  Использую в работе разные методы психотерапии - гештальт-терапия, когнитивно-поведенческая терапия, экзистенциальная. Образование 2017               Московский Гештальт Институт (Гештальт-терапевт, 1 и 2 ступени).                                           2013               Московский Гештальт Институт (Специализации: «Работа с травматическими и кризисными состояниями в гештальт-терапии», «Гештальт-подход в сексологии и сексопатологии», «Психологическое консультирование и терапия детей и подростков», «Телесная психотерапия»).                                           2010               Донецкий институт социального образования (Психолог). 2017               Московский Гештальт Институт (Гештальт-терапевт, 1 и 2 ступени). 2013               Московский Гештальт Институт (Специализации: «Работа с травматическими и кризисными состояниями в гештальт-терапии», «Гештальт-подход в сексологии и сексопатологии», «Психологическое консультирование и терапия детей и подростков», «Телесная психотерапия»). 2010               Донецкий институт социального образования (Психолог). Метод терапии Гештальт-терапия, Понимающая психотерапия / клиент-центрированный подход",1,3
5,"Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.","Валентина долгое время работает в гештальт-подходе и наиболее важным считает умение разбираться в самом себе и, как следствие, лучше понимать окружающих. Как пережить расставание? Как понять собственного ребёнка? Как перестать испытывать чувство вины? Как не бояться заявлять о себе? Как побороть собственные страхи? Как повысить самооценку? К Валентине обращаются с этими и многими другими вопросами, чтобы разрешить конфликты с близкими и окружающими и улучшить качество собственной жизни. Образование 2019               Кубанский институт профессионального образования (Психология. Клиническая психология).                                           2019               Санкт-Петербургский институт гештальта (Специализация: Гештальт-подход в работе с детьми и подростками).                                           2007               Санкт-Петербургский институт гештальта (Психолог-консультант. Гештальт-подход).                                           2006               Ленинградский государственный университет им. А. С. Пушкина (Психолог. Преподаватель психологии). 2019               Кубанский институт профессионального образования (Психология. Клиническая психология). 2019               Санкт-Петербургский институт гештальта (Специализация: Гештальт-подход в работе с детьми и подростками). 2007               Санкт-Петербургский институт гештальта (Психолог-консультант. Гештальт-подход). 2006               Ленинградский государственный университет им. А. С. Пушкина (Психолог. Преподаватель психологии). Метод терапии Гештальт-терапия",0,1
6,"Здравствуйте подскажите пожалуйста хорошего семейного психолога, мне с женой - в браке 7 лет, после жизненой двуякой ситуации и скандала есть вариант развода. Чувства, желания и множество пройденных неприятностей вместе не дают на эмоциях развестись. Нужен хороший психолог помочь разобраться в делах сердечных и сохранить брак.","Работаю  с  переживаниями кризисных ситуаций, с трудностями в процессе смены рода деятельности, с вопросами профессиональной и личностной самореализации, помогаю повысить самооценку, снова найти опору и смысл жизни. Работаю с тревогой, депрессией, страхами, утратой, одиночеством, с отношениями в паре, с темами сексологии. Придерживаюсь принципов уважения и честности с клиентом, бережного отношения и принятия. Образование 2020               Институт непрерывного образования Профессионал. Психолог. Практическая психология.                                           2019               Российское научное сексологическое общество. Повышение квалификации Навыки психологического консультирования в сексологии.                                           2018               Московский Гештальт Институт. Специализация Гештальт подход в работе с сексуальными нарушениями.                                           2017               Общество практикующих психологов Гештальт-подход. Программа Московского Гештальт Института. Теория и практика гештальт-терапии.                                           2016               Московский Гештальт Институт. Специализация Телесно-ориентированная работа в гештальт походе.                                           2013               Московский Гештальт Институт. Специализация Гештальт подход в работе с зависимостями. 2020               Институт непрерывного образования Профессионал. Психолог. Практическая психология. 2019               Российское научное сексологическое общество. Повышение квалификации Навыки психологического консультирования в сексологии. 2018               Московский Гештальт Институт. Специализация Гештальт подход в работе с сексуальными нарушениями. 2017               Общество практикующих психологов Гештальт-подход. Программа Московского Гештальт Института. Теория и практика гештальт-терапии. 2016               Московский Гештальт Институт. Специализация Телесно-ориентированная работа в гештальт походе. 2013               Московский Гештальт Институт. Специализация Гештальт подход в работе с зависимостями. Метод терапии Гештальт-терапия, Телесно-ориентированная психотерапия",1,3
7,Подскажите хорошего специалиста проблема разрыв отношений..переживание все ли сделала правильно сомнения,"Стаж 10 лет Работа со стрессом и его последствиями, с негативными эмоциональными состояниями (тревога, агрессия, апатия, депрессивные состояния, чувства вины, обиды и др.), личной неудовлетворенностью качеством жизни и повторяющимися негативными жизненными сценариями. Работа с самооценкой и неуверенностью в себе. Раскрытие внутреннего потенциала (Профориентация, профессиональная и личная эффективность. Работа с личными и возрастными кризисами) Работа по снижению веса и выстраиванию гармоничных отношений с едой Поддержка и помощь в периоды сложностей в отношениях, разрывов отношений, разводов. Образование: 2014 диплом по специальности Психолог, Воронежский Государственный Университет Курсы повышения квалификации: 2018 Работа с психологической травмой Профессиональная психотерапевтическая лига 2018 Эмоционально-образная терапия Центр Эмоционально-образной терапии Н.Д. Линде 2019 Работа с внутренним ребенком и внутренним родителем в транзактном анализе Центр консультирования и коучинга при Университете практической психологии 2020 Невротические адаптации ПЦ Альтер Эго 2020 Невротические адаптации ПЦ Альтер Эго 2022 Теория и практика саногенного (оздоравливающего) мышления в психологическом консультировании ПУ Первое сентября",1,4
8,"Подскажите психотерапевта, работающего с избегающим расстройством личности, андрофобией, депрессией.","Стаж 10 лет Работа со стрессом и его последствиями, с негативными эмоциональными состояниями (тревога, агрессия, апатия, депрессивные состояния, чувства вины, обиды и др.), личной неудовлетворенностью качеством жизни и повторяющимися негативными жизненными сценариями. Работа с самооценкой и неуверенностью в себе. Раскрытие внутреннего потенциала (Профориентация, профессиональная и личная эффективность. Работа с личными и возрастными кризисами) Работа по снижению веса и выстраиванию гармоничных отношений с едой Поддержка и помощь в периоды сложностей в отношениях, разрывов отношений, разводов. Образование: 2014 диплом по специальности Психолог, Воронежский Государственный Университет Курсы повышения квалификации: 2018 Работа с психологической травмой Профессиональная психотерапевтическая лига 2018 Эмоционально-образная терапия Центр Эмоционально-образной терапии Н.Д. Линде 2019 Работа с внутренним ребенком и внутренним родителем в транзактном анализе Центр консультирования и коучинга при Университете практической психологии 2020 Невротические адаптации ПЦ Альтер Эго 2020 Невротические адаптации ПЦ Альтер Эго 2022 Теория и практика саногенного (оздоравливающего) мышления в психологическом консультировании ПУ Первое сентября",1,3
9,"Добрый вечер! Прошу помощи,к кому обращаться, ребёнка словно подменили, теперь я не умею и знаю как вести коммуникацию с собственным ребенком","Стаж 10 лет Принимает взрослых с 18 лет. Моя работа основана на бережном и уважительном отношении к вашим ценностям и убеждениям. Во время сессий я стараюсь создать безопасное пространство, в котором вы сможете получить помощь и поддержку. С чем я работаю: кризисные и переломные ситуации в жизни, тревога и страхи, самооценка, материнское выгорание и поддержка женщин в декретном отпуске, поддержка во время беременности, трудности в отношениях (семейные, детско-родительские, личные), личные границы, личностный рост и раскрытие потенциала. Образование: 2014 диплом по специальности Психология развития, ?bo Akademi 2021 диплом по специальности Психолог, Институт Психотерапии и Медицинской Психологии им. Б.Д. Карвасарского Санкт-Петербург 2023 диплом по специальности Психологическое консультирование, Русская христианская гуманитарная академия им. Ф. М. Достоевского Санкт-Петербург 2024 диплом по специальности Клиническая психология, Национальный университет современных технологий Курсы повышения квалификации: 2021 Изотерапия, работа с рисунком Столичный институт профессионального образования 2021 Мандала как инструмент арт-терапии Иматон 2022 Основы КПТ в психологическом консультировании Дальневосточный Федеральный Университет 2022 SFBT Helsinki Brief Therapy Institute 2022 Психология аддитивного поведения , психокоррекция зависимостей Национальная академия дополнительного профессионального образования 2022 Особенности работы психолога в зоне конфликта Метафора 2023 Первая ступень  Гештальт-терапия Московский Гештальт Институт",1,3
