request;description;match_bin;match
Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.;Валентина долгое время работает в гештальт-подходе и наиболее важным считает умение разбираться в самом себе и, как следствие, лучше понимать окружающих. Как пережить расставание? Как понять собственного ребёнка? Как перестать испытывать чувство вины? Как не бояться заявлять о себе? Как побороть собственные страхи? Как повысить самооценку? К Валентине обращаются с этими и многими другими вопросами, чтобы разрешить конфликты с близкими и окружающими и улучшить качество собственной жизни.;0;1
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Внимательный и творческий гештальт-терапевт.
Принцип моей терапии: любой человек достоин быть увиденным и услышанным в своей уникальности. Основа моей работы - уважение, доверие, поддержка, поиск ресурсов. Человек неповторим в своем жизненной истории и для каждого можно найти свой путь, выбор, возможности через понимание и принятие себя.
Могу помочь вам с такими проблемами:
- Тревоги и тревожные состояния, неуверенность в себе;
- Потеря смысла жизни;
- Самоопределение и внутриличностный дискомфорт;
- Сложные жизненные ситуации и кризисы;
- Трудности в отношениях;
- Сложности сепарация и близости;
- Обнаружение и выстраивание личных границ;
- Поиск идентичности;
- Осознание и преодоление ваших ограничивающих установок;
- Эмоциональная зависимость.";0;1
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Главное для меня в процессе терапии - свободная и осознанная проработка проблемы. Я всегда стремлюсь к тому, чтобы клиент осознавал, что сейчас с ним происходит, понимал, что с этим можно сделать, и имел ресурсы для изменений. Для этого я использую современные методики КПТ, а также элементы экзистенциального подхода.
Основные проблемы, с которыми я помогаю бороться:
- Терапия тревожных расстройств;
- Проблемные отношения с родителями/детьми (внутрисемейные отношения);
- Проработка и формирование отношений с партнером;
- Кризис личностного (экзистенциального) выбора;
- Формирование положительного Я-образа (техники работы с самооценкой);
- Когнитивная психотерапия депрессии;
- Проблемы с мотивацией и самоорганизацией деятельности.";0;1
Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.;"Если у вас случилась депрессия, вас отвергли в отношениях или потеряли работу. Не складываются отношения с женой (мужем).
Вам трудно найти пару в жизни. Бываете неудовлетворены своей жизнью. Случились конфликты с родителями, детьми, начальством.
Работаю с такими проблемами, как трудности в общении, проблемы отношений в паре, депрессии, низкая самооценка, оздоровление организма, творческий и духовный кризис. Помогаю людям, испытывающим трудности в семейных отношениях. Работаю через дыхание с травмой рождения.";1;3
Здравствуйте, подскажите пожалуйста куда можно обратиться за диагностикой. Я постоянно отвлекаюсь, забываю про запланированные дела, откладываю дела про которые помню на часы и дни, хотя задачи простые, а другими вещами могу увлечься так что не оторвать - пока мне вдруг не надоест. Мне кажется что у меня недиагнозированный СДВГ, и это сильно мешает моей продуктивности;"Использую радикальные и авторские методики.
Сферы проработки: отношения/любовь, финансы/потенциал, родительско-детские отношения; психосоматика (хронические заболевания, не имеющие стандартного излечения), зависимости (алкоголь, игромания (лудомания), рпп (булемия, анорексия, переедание), наркомания, зависимые отношения), тревожные расстройства (панические атаки, фобии), самооценка, тема отношений и достижений.
Работаю в направлениях: диалектико-поведенческая терапия, аналитическая психотерапия, быстрые личностные изменения (RPT), клиническая психология, психологическая диагностика, нейролингвистическая психотерапия (NLPt), десенсибилизация и переработка с помощью движений глаз (ДПДГ / EMDR), сексология, кризисная психология и психотерапия.";0;1
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Ко мне можно обратиться с проблемами в отношениях, со сложностями в общении, в ситуации неуверенности в себе и поиска себя, депрессии, повышенной тревожности, ситуации развода, расставания, утраты, с проблемами зависимости и созависимости
Я могу помочь обрести уверенность в собственных силах, опору на себя, понимание своих потребностей и желаний, видение своих сильных и слабых сторон, умение справляться со сложными переживаниями. Я не предлагаю готовых решений, а помогаю понять, что можно сделать и какими силами. И даже если совсем ничего сделать нельзя, как это можно пережить.
В своей работе руководствуюсь следующими принципами: уважение, принятие и равная ответственность за результат терапии. Терапия - не только ваша работа и не только моя работа, это путь, который мы пройдем вместе.";0;2
Здравствуйте, подскажите пожалуйста куда можно обратиться за диагностикой. Я постоянно отвлекаюсь, забываю про запланированные дела, откладываю дела про которые помню на часы и дни, хотя задачи простые, а другими вещами могу увлечься так что не оторвать - пока мне вдруг не надоест. Мне кажется что у меня недиагнозированный СДВГ, и это сильно мешает моей продуктивности;"Наиболее эффективно работаю с запросами:
- Хронический стресс;
- Все виды тревоги, страхов и фобий
- Депрессивные состояния;
- Низкая самооценка и самоценность;
- Проблемы в отношениях;
- Развод, расставание;
- Потеря близкого человека;
- Помощь родственникам и близким в отношениях с зависимыми от алкоголя, наркотиков;
- Помощь имеющим близких страдающих депрессией;
- Отношения в коллективе;
- Созависимость.

Мои знания и опыт помогают клиентам разобраться с самыми разными проблемами в жизни: сложности в отношениях, почему не складываются отношения, почему сложно достигнуть цели или; а если цель достигнута, нет удовлетворения от достигнутого, как вернуть удовольствие от жизни или профессии, как адаптироваться к жизни в другой стране или городе.

В терапии я помогаю клиенту больше увидеть и осознать почему он поступает и думает так в той или иной ситуации. Это позволяет пересмотреть или отказаться от неэффективных, мешающих стратегий поведения и заменить их на более созвучные для него, прийти к гармонии в отношениях с собой и миром.

Я веду своих клиентов с помощью терапии к удовлетворению от жизни.";0;1
Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.;"Невозможно избежать проблем и сложностей в жизни. Мы не всемогущие... а жаль.
И когда становится трудно, хочется опереться на понимающего, принимающего без оценок и критики человека, который протянет руку и станет опорой. Я готова стать этой опорой.
С какими проблемами ко мне можно прийти?

- Ухудшение отношений с близкими;

- Подавленность, плохое настроение;

- Депрессия;

- Развод или измена;

- Несчастная любовь;

- Постоянное недовольство собой и другими;

- Проблемы в воспитании детей;

- Эмоциональные зависимости;

- Одиночество;

- Навязчивое поведение;

- Проблемы с деньгами;

- Потеря близкого человека;

- Эмоциональное и физическое насилие;

- Лишний вес и расстройства пищевого поведения и другое.

Я сделала своей профессией, своим призванием помощь людям в улучшении их жизни.";1;4
Добрый день! Любезно прошу помощи с контактами специалиста для работы со следующей ситуацией: нарастающая год от года, неконтролируемая агрессия супруга усугубляет сложные отношения, разрушает брак. Он осознает, периодически винит себя, но ситуация уже критическая. Последняя попытка спасти семью. Ищем психотерапевта, желательно мужчину, умеющего работать и с выплесками эмоций и с агрессией. Описала ситуацию общо и не знаю, нужен специалист по семейным отношениям или индивидуальной работе. Надеюсь, задачи конкретизируются на первом сеансе. Заранее благодарю.;"Помогаю клиентам разобраться в сложных жизненных ситуациях:

- семейных конфликтах;

- отношениях в паре;

- детско-родительских отношениях;

- проблемах с самооценкой и уверенности в себе;

- при возникновении страхов, фобий, тревог, потерь.
В работе психолога считаю очень важным сохранять конфиденциальность информации, которую клиент доверяет психологу, не оценивать, не критиковать клиента, а помогать справляться с трудными ситуациями, сопереживать вместе возникшие чувства.";1;4
Добрый день! Нужен психолог, специализирующийся на психосоматике. Обязательно с основным высшим психологическим образованием;"Помогаю осознавать природу внутренних конфликтов и переживаний, налаживать контакт с собой и окружающим миром, находить внутренние ресурсы для действий.
Работаю со следующими запросами:

- Проблемы в выстраивании отношений с людьми (с партнером, с коллегами), сложности заводить новые отношения, освободиться от старых отношений;

- Непереносимые эмоциональные переживания (обида, вина, стыд, гнев, горе);

- Депрессивные состояния (апатия, упадок сил, отсутствие интереса к чему-либо);

- Эмоциональная зависимость (ощущение принужденности, отсутствие личных границ в отношениях);

- Страхи, фобии;

- Невротические реакции (страх за свое здоровье без объективных причин, хроническая утомляемость, навязчивые действия, приступы тревоги);

- Психосоматика (телесные симптомы, причины которых не являются подтвержденными медицинским обследованием): перепады давления, головокружения, тошнота, потемнения в глазах, боли в теле.
Принципы, которых я придерживаюсь в работе:

- Уважение к клиенту, его индивидуальности и свободе выбора;

- Честность, открытость;

- Конфиденциальность;

- Бережное отношение к внутреннему миру клиента.";1;4
